date,open,high,low,close
2024-10-10,1.09,1.1,1.09,1.09
2024-10-13,1.09,1.09,1.09,1.09
2024-10-14,1.09,1.09,1.09,1.09
2024-10-15,1.09,1.09,1.09,1.09
2024-10-16,1.09,1.09,1.08,1.09
2024-10-17,1.08,1.09,1.08,1.08
2024-10-20,1.09,1.09,1.08,1.09
2024-10-21,1.08,1.08,1.08,1.08
2024-10-22,1.08,1.08,1.08,1.08
2024-10-23,1.08,1.08,1.08,1.08
2024-10-24,1.08,1.08,1.08,1.08
2024-10-28,1.08,1.08,1.08,1.08
2024-10-29,1.08,1.08,1.08,1.08
2024-10-30,1.08,1.09,1.08,1.08
2024-10-31,1.09,1.09,1.08,1.09
2024-11-01,1.09,1.09,1.08,1.09
2024-11-04,1.09,1.09,1.09,1.09
2024-11-05,1.09,1.09,1.09,1.09
2024-11-06,1.09,1.09,1.07,1.09
2024-11-07,1.07,1.08,1.07,1.07
2024-11-08,1.08,1.08,1.07,1.08
2024-11-11,1.07,1.07,1.06,1.07
2024-11-12,1.07,1.07,1.06,1.07
2024-11-13,1.06,1.06,1.06,1.06
2024-11-14,1.06,1.06,1.05,1.06
2024-11-15,1.05,1.06,1.05,1.05
2024-11-18,1.05,1.06,1.05,1.05
2024-11-19,1.06,1.06,1.05,1.06
2024-11-20,1.06,1.06,1.05,1.06
2024-11-21,1.05,1.06,1.05,1.05
2024-11-22,1.05,1.05,1.03,1.05
2024-11-25,1.05,1.05,1.04,1.05
2024-11-26,1.04,1.05,1.04,1.04
2024-11-27,1.05,1.06,1.05,1.05
2024-11-28,1.06,1.06,1.05,1.06
2024-11-29,1.06,1.06,1.05,1.06
2024-12-02,1.05,1.05,1.05,1.05
2024-12-03,1.05,1.05,1.05,1.05
2024-12-04,1.05,1.05,1.05,1.05
2024-12-05,1.05,1.06,1.05,1.05
2024-12-06,1.06,1.06,1.05,1.06
2024-12-09,1.06,1.06,1.05,1.06
2024-12-10,1.06,1.06,1.05,1.06
2024-12-11,1.05,1.05,1.05,1.05
2024-12-12,1.05,1.05,1.05,1.05
2024-12-13,1.05,1.05,1.05,1.05
2024-12-16,1.05,1.05,1.05,1.05
2024-12-17,1.05,1.05,1.05,1.05
2024-12-18,1.05,1.05,1.05,1.05
2024-12-19,1.04,1.04,1.04,1.04
2024-12-20,1.04,1.04,1.03,1.04
2024-12-23,1.04,1.04,1.04,1.04
2024-12-24,1.04,1.04,1.04,1.04
2024-12-25,1.04,1.04,1.04,1.04
2024-12-26,1.04,1.04,1.04,1.04
2024-12-27,1.04,1.04,1.04,1.04
2024-12-30,1.04,1.05,1.04,1.04
2024-12-31,1.04,1.04,1.03,1.04
2025-01-02,1.04,1.04,1.02,1.04
2025-01-03,1.03,1.03,1.03,1.03
2025-01-06,1.03,1.04,1.03,1.03
2025-01-07,1.04,1.04,1.04,1.04
2025-01-08,1.03,1.04,1.03,1.03
2025-01-09,1.03,1.03,1.03,1.03
2025-01-10,1.03,1.03,1.02,1.03
2025-01-13,1.02,1.03,1.02,1.02
2025-01-14,1.03,1.03,1.02,1.03
2025-01-15,1.03,1.04,1.03,1.03
2025-01-16,1.03,1.03,1.03,1.03
2025-01-17,1.03,1.03,1.03,1.03
2025-01-20,1.03,1.04,1.03,1.03
2025-01-21,1.04,1.04,1.03,1.04
2025-01-22,1.04,1.05,1.04,1.04
2025-01-23,1.04,1.04,1.04,1.04
2025-01-24,1.04,1.05,1.04,1.04
2025-01-27,1.05,1.05,1.05,1.05
2025-01-28,1.04,1.05,1.04,1.04
2025-01-29,1.04,1.04,1.04,1.04
2025-01-30,1.04,1.05,1.04,1.04
2025-01-31,1.04,1.04,1.04,1.04
2025-02-03,1.02,1.03,1.02,1.02
2025-02-04,1.03,1.04,1.03,1.03
2025-02-05,1.04,1.04,1.04,1.04
2025-02-06,1.04,1.04,1.04,1.04
2025-02-07,1.04,1.04,1.03,1.04
2025-02-10,1.03,1.03,1.03,1.03
2025-02-11,1.03,1.04,1.03,1.03
2025-02-12,1.04,1.04,1.03,1.04
2025-02-13,1.04,1.04,1.04,1.04
2025-02-14,1.05,1.05,1.04,1.05
2025-02-17,1.05,1.05,1.05,1.05
2025-02-18,1.05,1.05,1.04,1.05
2025-02-19,1.04,1.05,1.04,1.04
2025-02-20,1.04,1.05,1.04,1.04
2025-02-21,1.05,1.05,1.04,1.05
2025-02-24,1.05,1.05,1.05,1.05
2025-02-25,1.05,1.05,1.05,1.05
2025-02-26,1.05,1.05,1.05,1.05
2025-02-27,1.05,1.05,1.04,1.05
2025-02-28,1.04,1.04,1.04,1.04
2025-03-03,1.04,1.05,1.04,1.04
2025-03-04,1.05,1.06,1.05,1.05
2025-03-05,1.06,1.08,1.06,1.06
2025-03-06,1.08,1.09,1.08,1.08
2025-03-07,1.08,1.09,1.08,1.08
2025-03-10,1.09,1.09,1.08,1.09
2025-03-11,1.08,1.09,1.08,1.08
2025-03-12,1.09,1.09,1.09,1.09
2025-03-13,1.09,1.09,1.08,1.09
2025-03-14,1.09,1.09,1.08,1.09
2025-03-17,1.09,1.09,1.09,1.09
2025-03-18,1.09,1.1,1.09,1.09
2025-03-19,1.09,1.09,1.09,1.09
2025-03-20,1.09,1.09,1.08,1.09
2025-03-21,1.09,1.09,1.08,1.09
2025-03-24,1.08,1.09,1.08,1.08
2025-03-25,1.08,1.08,1.08,1.08
2025-03-26,1.08,1.08,1.08,1.08
2025-03-27,1.07,1.08,1.07,1.07
2025-03-28,1.08,1.08,1.08,1.08
2025-03-30,1.08,1.08,1.08,1.08
2025-03-31,1.08,1.08,1.08,1.08
2025-04-01,1.08,1.09,1.08,1.08
2025-04-02,1.09,1.11,1.09,1.09
2025-04-03,1.1,1.11,1.1,1.1
2025-04-06,1.1,1.1,1.09,1.1
2025-04-07,1.09,1.1,1.09,1.09
2025-04-08,1.1,1.11,1.1,1.1
2025-04-09,1.1,1.12,1.1,1.1
2025-04-10,1.13,1.15,1.13,1.13
2025-04-13,1.13,1.14,1.13,1.13
2025-04-14,1.13,1.14,1.13,1.13
2025-04-15,1.13,1.14,1.13,1.13
2025-04-16,1.14,1.14,1.13,1.14
2025-04-21,1.15,1.15,1.15,1.15
2025-04-22,1.14,1.14,1.13,1.14
2025-04-23,1.13,1.14,1.13,1.13
2025-04-24,1.14,1.14,1.13,1.14
2025-04-27,1.13,1.14,1.13,1.13
2025-04-28,1.14,1.14,1.14,1.14
2025-04-29,1.14,1.14,1.13,1.14
2025-04-30,1.13,1.13,1.13,1.13
2025-05-01,1.13,1.14,1.13,1.13
2025-05-04,1.13,1.14,1.13,1.13
2025-05-05,1.13,1.14,1.13,1.13
2025-05-06,1.13,1.14,1.13,1.13
2025-05-07,1.13,1.13,1.12,1.13
2025-05-08,1.12,1.13,1.12,1.12
2025-05-11,1.12,1.12,1.11,1.12
2025-05-12,1.11,1.12,1.11,1.11
2025-05-13,1.12,1.13,1.12,1.12
2025-05-14,1.12,1.12,1.12,1.12
2025-05-15,1.12,1.12,1.11,1.12
2025-05-18,1.12,1.13,1.12,1.12
2025-05-19,1.12,1.13,1.12,1.12
2025-05-20,1.13,1.14,1.13,1.13
2025-05-21,1.13,1.13,1.13,1.13
2025-05-22,1.13,1.14,1.13,1.13
2025-05-25,1.14,1.14,1.14,1.14
2025-05-26,1.14,1.14,1.13,1.14
2025-05-27,1.13,1.13,1.13,1.13
2025-05-28,1.12,1.14,1.12,1.12
2025-05-29,1.14,1.14,1.13,1.14
2025-06-01,1.14,1.14,1.14,1.14
2025-06-02,1.15,1.15,1.14,1.15
2025-06-03,1.14,1.14,1.14,1.14
2025-06-04,1.14,1.15,1.14,1.14
2025-06-05,1.15,1.15,1.14,1.15
2025-06-08,1.14,1.14,1.14,1.14
2025-06-09,1.14,1.14,1.14,1.14
2025-06-10,1.14,1.15,1.14,1.14
2025-06-11,1.15,1.16,1.15,1.15
2025-06-12,1.16,1.16,1.15,1.16
2025-06-15,1.16,1.16,1.15,1.16
2025-06-16,1.16,1.16,1.15,1.16
2025-06-17,1.15,1.15,1.15,1.15
2025-06-18,1.15,1.15,1.14,1.15
2025-06-19,1.15,1.15,1.15,1.15
2025-06-22,1.15,1.16,1.15,1.15
2025-06-23,1.16,1.16,1.16,1.16
2025-06-24,1.16,1.16,1.16,1.16
2025-06-25,1.17,1.17,1.17,1.17
2025-06-26,1.17,1.18,1.17,1.17
2025-06-29,1.17,1.18,1.17,1.17
2025-06-30,1.18,1.18,1.18,1.18
2025-07-01,1.18,1.18,1.17,1.18
