date,open,high,low,close
2021-06-08,1.2172,1.2219,1.2172,1.2173
2021-06-09,1.2177,1.2192,1.2145,1.2182
2021-06-10,1.2173,1.2195,1.2095,1.2173
2021-06-13,1.2111,1.2132,1.2095,1.211
2021-06-14,1.2124,1.2149,1.2103,1.2122
2021-06-15,1.2125,1.2135,1.211,1.2127
2021-06-16,1.1992,1.2008,1.1907,1.1996
2021-06-17,1.1913,1.1927,1.1851,1.1913
2021-06-20,1.1869,1.1921,1.1849,1.1874
2021-06-21,1.1912,1.1918,1.1882,1.1913
2021-06-22,1.1937,1.197,1.1916,1.1937
2021-06-23,1.1932,1.1957,1.192,1.1933
2021-06-24,1.1928,1.1974,1.1928,1.193
2021-06-27,1.1942,1.1946,1.1905,1.1942
2021-06-28,1.193,1.193,1.188,1.1929
2021-06-29,1.19,1.191,1.1846,1.1902
2021-06-30,1.1855,1.1884,1.1838,1.1857
2021-07-01,1.1847,1.1861,1.1819,1.1846
2021-07-04,1.1856,1.1882,1.1852,1.1856
2021-07-05,1.1861,1.1896,1.1815,1.1864
2021-07-06,1.182,1.1841,1.1782,1.1825
2021-07-07,1.1794,1.1866,1.1784,1.1793
2021-07-08,1.1847,1.1875,1.1825,1.1848
2021-07-11,1.1874,1.1882,1.1837,1.1873
2021-07-12,1.1865,1.1878,1.1793,1.1865
2021-07-13,1.1774,1.1828,1.1773,1.1775
2021-07-14,1.1833,1.1851,1.1806,1.1833
2021-07-15,1.1813,1.1823,1.1794,1.1812
2021-07-18,1.1812,1.1823,1.1764,1.1814
2021-07-19,1.1792,1.1804,1.1757,1.1794
2021-07-20,1.1786,1.1803,1.1754,1.1784
2021-07-21,1.1795,1.183,1.1767,1.1793
2021-07-22,1.1774,1.1786,1.1756,1.1773
2021-07-25,1.1773,1.1818,1.1765,1.1773
2021-07-26,1.1806,1.1837,1.1772,1.1808
2021-07-27,1.1822,1.183,1.1786,1.1823
2021-07-28,1.1847,1.1892,1.1842,1.1846
2021-07-29,1.1892,1.1911,1.1856,1.1893
2021-08-01,1.1865,1.1899,1.186,1.1867
2021-08-02,1.1875,1.1896,1.1856,1.1875
2021-08-03,1.1869,1.1902,1.1834,1.1869
2021-08-04,1.184,1.1859,1.183,1.1837
2021-08-05,1.1833,1.1836,1.1756,1.1836
2021-08-08,1.1751,1.1772,1.1742,1.175
2021-08-09,1.1739,1.1744,1.1711,1.1738
2021-08-10,1.172,1.1747,1.1706,1.1723
