date,open,high,low,close
2019-05-21,63.28,63.6,62.75,62.99
2019-05-22,62.64,62.78,61.03,61.42
2019-05-23,61.27,61.29,57.33,57.91
2019-05-24,58.21,59.1,57.5,58.63
2019-05-28,58.94,59.57,58.13,59.14
2019-05-29,59.07,59.14,56.88,58.81
2019-05-30,59.12,59.7,56.33,56.59
2019-05-31,56.46,56.61,53.05,53.5
2019-06-03,53.42,54.63,52.11,53.25
2019-06-04,52.89,53.78,52.43,53.48
2019-06-05,52.86,53.41,50.6,51.68
2019-06-06,51.66,53.3,51.17,52.59
2019-06-07,53.1,54.32,52.62,53.99
2019-06-10,54.24,54.84,53.05,53.26
2019-06-11,53.43,54.04,52.91,53.27
2019-06-12,53.04,53.05,50.72,51.14
2019-06-13,51.07,53.45,50.92,52.28
2019-06-14,52.18,52.98,51.7,52.51
2019-06-17,52.5,52.74,51.58,51.93
2019-06-18,51.95,54.31,51.5,53.9
2019-06-19,54.09,54.42,53.28,53.76
2019-06-20,54.12,57.02,54.11,56.65
2019-06-21,57.26,57.98,56.66,57.43
2019-06-24,57.72,58.22,56.75,57.9
2019-06-25,57.74,58.84,57.2,57.83
2019-06-26,58.84,59.93,58.65,59.38
2019-06-27,59.27,59.73,58.61,59.43
2019-06-28,59.22,59.8,57.75,58.47
2019-07-01,59.27,60.28,58.34,59.09
2019-07-02,59.14,59.43,56.09,56.25
2019-07-03,56.49,57.48,56.04,57.34
2019-07-05,57.38,57.82,56.29,57.51
2019-07-08,57.77,58.46,57.3,57.66
2019-07-09,57.56,59.1,57.29,57.83
2019-07-10,58.4,60.53,58.35,60.43
2019-07-11,60.44,60.94,60.14,60.2
2019-07-12,60.46,60.74,59.93,60.21
2019-07-15,60.25,60.92,59.2,59.58
2019-07-16,59.26,60.06,57.07,57.62
2019-07-17,57.52,58.36,56.21,56.78
2019-07-18,56.6,57.32,54.72,55.3
2019-07-19,55.72,56.36,54.99,55.63
2019-07-22,56.22,56.84,55.72,56.22
2019-07-23,56.17,57.47,55.74,56.77
2019-07-24,57.23,57.64,55.33,55.88
2019-07-25,55.9,56.99,55.81,56.02
2019-07-26,55.93,56.57,55.68,56.2
2019-07-29,56.2,57.1,55.81,56.87
2019-07-30,57.07,58.47,56.96,58.05
2019-07-31,58.34,58.82,57.81,58.58
2019-08-01,57.85,57.99,53.59,53.95
2019-08-02,54.54,56.05,54.15,55.66
2019-08-05,55.38,55.61,54.22,54.69
2019-08-06,54.95,55.42,53.29,53.63
2019-08-07,53.42,53.77,50.52,51.09
2019-08-08,52.33,53.06,51.94,52.54
2019-08-09,52.88,54.92,52.37,54.5
2019-08-12,54.32,55.18,53.54,54.93
2019-08-13,54.73,57.47,54.21,57.1
