date,open,high,low,close
2024-10-10,73.39,76.24,73.26,75.85
2024-10-11,75.74,76.04,74.53,75.56
2024-10-14,75.05,75.08,71.81,73.83
2024-10-15,71.51,72.12,69.71,70.58
2024-10-16,70.99,71.31,69.64,70.39
2024-10-17,70.68,71.11,69.44,70.67
2024-10-18,70.75,71.23,68.69,69.22
2024-10-21,69.46,71.03,69.0,70.56
2024-10-22,70.49,72.66,70.05,72.09
2024-10-23,71.35,71.72,70.13,70.77
2024-10-24,71.02,72.34,69.77,70.19
2024-10-25,70.33,71.92,69.96,71.78
2024-10-28,68.98,69.0,66.92,67.38
2024-10-29,68.02,68.52,66.72,67.21
2024-10-30,67.47,69.17,67.28,68.61
2024-10-31,69.1,70.81,68.3,69.26
2024-11-01,70.44,71.45,69.32,69.49
2024-11-04,70.29,71.81,70.25,71.47
2024-11-05,71.62,72.67,71.29,71.99
2024-11-06,72.02,72.63,69.74,71.69
2024-11-07,71.87,72.88,70.66,72.36
2024-11-08,72.21,72.25,69.99,70.38
2024-11-11,70.25,70.56,67.92,68.04
2024-11-12,68.15,69.13,67.75,68.12
2024-11-13,67.98,68.86,66.94,68.43
2024-11-14,68.13,69.39,67.92,68.7
2024-11-15,68.62,68.69,66.82,67.02
2024-11-18,66.86,69.39,66.61,69.16
2024-11-19,69.01,69.69,68.45,69.39
2024-11-20,69.55,70.15,68.75,68.87
2024-11-21,69.04,70.38,68.86,70.1
2024-11-22,70.18,71.51,69.29,71.24
2024-11-25,71.44,71.48,68.74,68.94
2024-11-26,69.08,70.3,68.05,68.77
2024-11-27,68.91,69.37,68.18,68.72
2024-11-29,68.77,69.69,67.87,68.0
2024-12-02,68.0,69.11,67.71,68.1
2024-12-03,68.16,70.23,67.91,69.94
2024-12-04,70.02,70.51,68.49,68.54
2024-12-05,68.74,69.16,67.98,68.3
2024-12-06,68.44,68.49,66.98,67.2
2024-12-09,67.15,68.88,67.08,68.37
2024-12-10,68.19,69.06,67.72,68.59
2024-12-11,68.5,70.53,68.44,70.29
2024-12-12,70.43,70.72,69.14,70.02
2024-12-13,70.06,71.42,69.87,71.29
2024-12-16,71.44,71.44,70.37,70.71
2024-12-17,70.61,70.92,69.18,70.08
2024-12-18,70.22,71.38,69.99,70.58
2024-12-19,70.14,71.26,69.7,69.91
2024-12-20,69.23,69.85,68.42,69.46
2024-12-23,69.4,69.94,68.59,69.24
2024-12-24,69.56,70.43,69.36,70.1
2024-12-26,70.2,70.75,69.33,69.62
2024-12-27,69.68,70.75,69.44,70.6
2024-12-30,70.42,71.56,70.12,70.99
2024-12-31,71.15,72.02,70.87,71.72
2025-01-02,71.85,73.73,71.79,73.13
2025-01-03,73.13,74.35,72.7,73.96
2025-01-06,74.05,74.99,73.2,73.56
2025-01-07,73.44,74.53,73.11,74.25
2025-01-08,74.52,75.29,73.16,73.32
2025-01-09,73.32,74.32,72.84,73.92
2025-01-10,74.29,77.86,74.02,76.57
2025-01-13,76.54,79.27,76.54,78.82
2025-01-14,78.82,79.09,77.41,77.5
2025-01-15,78.03,80.77,77.24,80.04
2025-01-16,80.4,80.59,77.87,78.68
2025-01-17,78.75,79.44,77.76,77.88
2025-01-21,78.19,78.47,75.49,75.89
2025-01-22,75.88,76.45,75.28,75.44
2025-01-23,75.39,76.0,74.14,74.62
2025-01-24,74.3,75.21,74.01,74.66
2025-01-27,74.54,75.15,72.38,73.17
2025-01-28,73.15,74.31,72.93,73.77
2025-01-29,73.95,74.08,72.33,72.62
2025-01-30,73.0,73.84,72.02,72.73
2025-01-31,73.2,73.84,71.94,72.53
2025-02-03,74.14,75.18,72.05,73.16
2025-02-04,72.35,73.35,70.67,72.7
2025-02-05,72.76,72.97,70.96,71.03
2025-02-06,71.18,71.85,70.43,70.61
2025-02-07,70.56,71.41,70.47,71.0
2025-02-10,71.0,72.54,70.84,72.32
2025-02-11,72.49,73.68,72.31,73.32
2025-02-12,73.2,73.22,71.17,71.37
2025-02-13,71.24,71.6,70.22,71.29
2025-02-14,71.52,72.02,70.52,70.74
2025-02-18,70.7,72.07,70.12,71.85
2025-02-19,71.78,73.04,71.71,72.25
2025-02-20,72.18,73.25,71.85,72.57
2025-02-21,72.58,72.77,70.17,70.4
2025-02-24,69.8,70.94,69.8,70.7
2025-02-25,70.92,71.26,68.68,68.93
2025-02-26,69.11,69.28,68.36,68.62
2025-02-27,68.82,70.54,68.61,70.35
2025-02-28,70.17,70.29,69.14,69.76
2025-03-03,69.95,70.6,67.89,68.37
2025-03-04,68.46,68.56,66.77,68.26
2025-03-05,68.08,68.1,65.22,66.31
2025-03-06,66.39,67.09,65.59,66.36
2025-03-07,66.34,68.22,66.12,67.04
2025-03-10,67.11,67.6,65.8,66.03
2025-03-11,65.95,67.17,65.29,66.25
2025-03-12,66.62,67.88,66.15,67.68
2025-03-13,67.69,67.94,66.37,66.55
2025-03-14,66.78,67.48,66.59,67.18
2025-03-17,67.35,68.37,67.25,67.58
2025-03-18,67.4,68.72,66.56,66.9
2025-03-19,66.72,67.63,66.21,67.16
2025-03-20,67.29,68.47,66.88,68.26
2025-03-21,68.35,68.65,67.65,68.28
2025-03-24,68.35,69.33,67.95,69.11
2025-03-25,69.16,69.68,68.52,69.0
2025-03-26,69.16,70.22,69.06,69.65
2025-03-27,69.96,69.97,69.12,69.92
2025-03-28,69.91,70.09,68.87,69.36
2025-03-31,69.43,71.83,68.81,71.48
2025-04-01,71.39,72.1,71.03,71.2
2025-04-02,71.2,72.28,70.59,71.71
2025-04-03,70.38,70.41,65.98,66.95
2025-04-04,66.64,66.9,60.45,61.99
2025-04-07,61.12,63.9,58.95,60.7
2025-04-08,61.03,61.75,57.88,59.58
2025-04-09,58.32,62.93,55.12,62.35
2025-04-10,62.71,63.34,58.76,60.07
2025-04-11,60.2,61.87,59.43,61.5
2025-04-14,61.7,62.68,60.59,61.53
2025-04-15,61.58,62.06,60.88,61.33
2025-04-16,61.54,62.98,60.44,62.47
2025-04-17,62.63,64.86,62.61,64.68
2025-04-21,64.3,64.42,62.45,63.08
2025-04-22,63.43,65.09,63.43,64.31
2025-04-23,64.0,64.87,61.53,62.27
2025-04-24,62.34,63.31,61.99,62.79
2025-04-25,62.86,63.41,61.8,63.02
2025-04-28,63.49,63.92,61.48,62.05
2025-04-29,61.87,62.07,60.12,60.42
2025-04-30,60.16,60.43,57.91,58.21
2025-05-01,58.16,59.5,56.39,59.24
2025-05-02,58.99,59.87,57.74,58.29
2025-05-05,56.76,57.7,55.3,57.13
2025-05-06,57.25,59.84,57.03,59.09
2025-05-07,58.98,60.26,57.81,58.07
2025-05-08,57.93,60.29,57.74,59.91
2025-05-09,60.25,61.45,59.89,61.02
2025-05-12,61.39,63.61,61.02,61.95
2025-05-13,62.0,63.9,61.65,63.67
2025-05-14,63.62,63.68,62.75,63.15
2025-05-15,62.88,62.91,60.47,61.62
2025-05-16,61.7,62.71,61.25,62.49
2025-05-19,62.75,63.4,61.57,62.69
2025-05-20,62.68,63.17,62.19,62.56
2025-05-21,62.27,64.19,61.28,61.57
2025-05-22,61.33,61.75,60.25,61.2
2025-05-23,60.81,61.88,60.02,61.53
2025-05-27,61.7,62.14,60.26,60.89
2025-05-28,61.04,62.54,60.85,61.84
2025-05-29,61.83,63.07,60.55,60.94
2025-05-30,60.94,61.72,59.74,60.79
2025-06-02,61.11,63.88,61.06,62.52
2025-06-03,63.02,63.89,62.4,63.41
2025-06-04,63.36,63.96,62.17,62.85
2025-06-05,62.76,63.98,62.5,63.37
2025-06-06,63.33,64.8,62.82,64.58
2025-06-09,64.8,65.43,64.2,65.29
2025-06-10,65.46,66.28,64.57,64.98
2025-06-11,64.76,68.37,64.6,68.15
2025-06-12,69.03,69.29,66.72,68.04
2025-06-13,68.9,77.62,68.49,72.98
2025-06-16,76.54,77.49,69.38,71.77
2025-06-17,71.11,75.54,71.0,74.84
2025-06-18,75.61,76.07,72.94,75.14
2025-06-20,74.6,77.58,74.3,74.93
2025-06-23,78.0,78.4,66.6,68.51
2025-06-24,67.74,67.83,64.0,64.37
2025-06-25,65.12,66.03,64.51,64.92
2025-06-26,64.98,66.42,64.66,65.24
2025-06-27,65.3,66.09,64.8,65.52
2025-06-30,65.15,65.82,64.5,65.11
2025-07-01,64.96,65.98,64.67,65.45
2025-07-02,65.56,67.58,65.23,67.45
2025-07-03,67.5,67.58,66.53,67.0
2025-07-04,67.13,67.18,66.04,66.5
2025-07-07,65.7,68.32,65.4,67.93
2025-07-08,67.96,68.91,67.33,68.33
2025-07-09,68.18,68.94,67.7,68.38
2025-07-10,68.29,68.65,66.45,66.57
2025-07-11,66.85,68.77,66.5,68.45
2025-07-14,68.68,69.65,66.8,66.98
2025-07-15,66.86,67.13,66.22,66.52
2025-07-16,66.73,67.01,65.42,66.38
2025-07-17,66.6,67.69,66.29,67.54
2025-07-18,67.6,68.96,67.2,67.34
2025-07-21,67.32,67.76,66.46,67.2
2025-07-22,67.12,67.13,65.99,66.21
2025-07-23,65.49,65.78,64.71,65.25
2025-07-24,65.42,66.39,65.33,66.03
2025-07-25,66.15,66.74,65.0,65.16
2025-07-28,65.15,67.14,65.05,66.71
2025-07-29,67.04,69.76,66.53,69.21
2025-07-30,69.34,70.51,68.45,70.0
2025-07-31,70.3,70.41,68.56,69.26
2025-08-01,69.35,69.58,67.05,67.33
2025-08-04,66.85,67.74,65.46,66.29
2025-08-05,66.21,66.39,65.03,65.16
2025-08-06,65.15,66.75,63.64,64.35
2025-08-07,64.36,65.11,63.7,63.88
2025-08-08,63.85,64.58,62.77,63.88
2025-08-11,63.48,64.44,63.02,63.96
2025-08-12,64.0,64.34,63.06,63.17
2025-08-13,63.07,63.38,61.94,62.65
2025-08-14,62.79,64.1,62.58,63.96
